0.155060	0.118197	0.519077	
0.161430	0.128616	0.462009	
0.142611	0.107351	0.339127	
0.112513	0.074362	0.229265	
0.078490	0.023899	0.112785	
0.040478	-0.072095	-0.077452	
-0.013464	-0.171373	-0.341323	
-0.075192	-0.229557	-0.572156	
-0.115970	-0.277944	-0.729186	
-0.140217	-0.296876	-0.840144	
-0.163887	-0.278677	-0.919382	
-0.193725	-0.227074	-0.954415	
-0.217352	-0.140951	-0.922266	
-0.222392	-0.054115	-0.821020	
-0.211669	0.026997	-0.670026	
-0.187334	0.094970	-0.494950	
-0.148948	0.132865	-0.319023	
-0.099741	0.148045	-0.162152	
-0.049710	0.147725	-0.035619	
-0.002322	0.133408	0.075686	
0.042493	0.115047	0.193202	
0.073791	0.098579	0.284799	
0.089753	0.086487	0.332062	
0.099718	0.100104	0.367801	
0.114223	0.125495	0.435031	
0.131544	0.128311	0.546683	
0.127223	0.125150	0.595128	
0.104080	0.133136	0.573454	
0.094258	0.135397	0.605191	
0.093717	0.128715	0.653888	
